industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
G,8,12,1,7,1,1,1,1,3,0,1,1,7,1,1,5,2,1,2,2,1,5,5,2,1,0,1766.6666667
O,3,18,1,13,4,2,2,2,3,0,2,3,12,2,5,2,3,4,2,3,2,1,1,1,1,2,4333.3333333
O,2,12,2,7,4,5,5,2,2,0,5,4,13,2,6,5,1,5,5,5,5,1,5,1,5,2,8716.6666667
H,8,12,1,7,6,1,3,1,1,0,3,5,7,2,1,2,2,5,2,3,2,2,5,1,2,1,4267.5
G,3,9,2,3,0,4,5,1,3,4,4,5,7,1,3,5,1,5,5,3,4,5,5,1,1,1,4375.0
G,1,12,2,7,4,1,1,1,3,2,1,3,7,1,4,2,4,1,2,5,2,5,5,1,1,1,2679.1666667
K,4,12,2,7,1,4,1,1,3,0,5,5,7,1,6,2,3,2,1,3,2,1,5,1,2,2,2900.0
O,1,18,1,13,4,5,5,2,3,3,4,2,13,1,3,4,2,5,5,5,2,1,5,1,4,3,18333.333333
P,2,12,2,7,8,5,5,2,3,0,2,3,9,3,5,5,1,4,5,5,4,5,5,1,1,1,2236.0
C,3,12,1,7,8,1,1,1,3,0,1,2,9,1,1,5,2,5,1,5,3,1,5,1,1,3,2790.0
I,5,12,2,7,4,5,1,1,2,2,2,2,3,3,3,5,2,5,4,5,3,5,5,2,1,0,3799.3333333
K,2,16,1,12,4,1,1,1,3,0,5,5,12,2,6,2,3,5,2,5,3,1,1,1,4,2,4666.6666667
Q,5,18,1,13,2,3,1,1,3,0,1,4,7,1,3,5,2,4,4,5,3,5,5,1,2,1,2946.6666667
P,2,18,1,13,2,3,2,3,3,3,2,4,13,1,1,4,4,3,5,4,3,2,5,1,2,2,4187.5
P,5,14,2,11,8,5,1,2,3,0,1,3,11,1,3,5,1,5,5,5,4,1,5,1,1,2,1528.8333333
K,1,18,1,13,2,5,3,1,1,2,3,5,12,1,5,2,1,3,4,5,4,1,5,1,5,2,6416.6666667
G,5,12,1,7,1,5,5,1,1,0,3,4,7,1,5,3,3,5,3,5,3,2,3,1,1,1,4458.3333333
G,7,12,1,7,1,1,1,1,3,0,3,3,7,1,3,4,2,5,1,4,4,4,5,1,1,1,1300.0
K,2,18,2,13,4,5,4,1,3,0,5,5,12,1,5,5,2,5,4,5,4,1,5,1,4,2,3333.3333333
P,2,18,2,13,4,5,4,3,3,0,3,4,13,1,6,4,2,5,5,5,5,2,5,1,2,2,5000.0
R,3,12,1,7,6,1,1,1,3,0,1,1,2,1,1,1,2,1,1,2,1,5,5,2,1,0,953.33333333
Q,3,12,2,7,2,2,1,1,3,1,3,2,7,1,6,2,2,2,2,2,2,1,5,1,1,1,3247.5
Q,9,12,2,7,1,1,1,2,2,0,3,1,7,1,5,1,2,1,1,2,2,5,5,2,1,0,3466.6666667
J,2,18,1,13,5,2,1,1,1,0,2,3,12,1,5,2,2,2,2,3,3,1,5,1,5,3,12133.333333
K,1,16,1,12,4,4,4,1,1,4,2,3,12,1,6,3,2,3,3,4,2,1,1,1,2,2,12500.0
I,5,12,1,7,1,1,1,1,1,0,3,3,7,2,1,2,2,4,2,4,3,5,5,1,1,1,1525.3333333
C,2,16,1,12,4,5,5,1,2,0,4,4,12,1,5,5,2,5,5,5,3,5,2,1,4,2,5541.6666667
N,1,16,1,12,6,5,5,1,3,3,5,5,12,2,6,3,2,5,5,5,5,1,1,1,2,2,13750.0
I,9,9,1,3,0,2,3,1,3,0,5,4,3,2,3,5,2,5,4,2,2,3,5,2,1,0,433.33333333
Q,3,14,2,11,8,5,1,1,3,2,1,2,9,1,5,5,1,5,4,5,5,5,5,1,2,1,2423.3333333
P,2,16,2,12,5,5,5,1,3,0,3,3,12,1,5,5,2,5,5,5,5,4,5,1,1,2,3250.0
P,2,18,2,13,2,5,5,2,3,3,1,4,12,3,6,4,2,5,5,5,4,2,5,1,2,2,6333.3333333
C,7,12,1,7,1,1,1,1,3,0,1,3,7,1,1,5,1,4,4,3,5,5,5,1,2,1,1408.4166667
J,9,9,1,3,0,1,1,1,3,0,3,3,3,1,3,2,2,2,2,4,1,5,5,1,1,1,541.66666667
M,5,16,2,12,2,5,3,1,3,1,1,3,7,1,1,5,3,1,1,2,1,5,5,2,1,0,541.66666667
I,4,14,2,11,4,5,5,1,1,0,3,5,7,1,5,5,1,2,3,5,5,5,5,1,2,1,1747.3333333
K,2,12,2,7,4,4,4,1,3,0,2,3,12,2,5,3,1,3,4,5,4,1,5,1,2,2,6416.6666667
J,3,16,1,12,5,5,1,1,1,0,1,3,11,1,5,2,3,2,2,5,5,3,5,1,4,3,5041.6666667
H,7,9,1,3,0,4,5,1,2,1,4,4,1,1,1,4,3,5,5,2,3,5,5,2,1,0,983.66666667
Q,3,13,2,9,8,5,5,1,3,3,3,3,9,1,1,4,2,5,4,4,4,5,5,1,1,2,2677.0
M,3,12,2,7,8,4,4,1,3,0,4,3,7,2,1,3,3,3,2,5,5,4,5,1,1,2,2208.3333333
G,5,16,2,12,9,5,2,2,3,1,3,5,7,1,5,2,3,2,2,5,2,5,5,1,1,1,755.73333333
C,3,14,1,11,1,1,3,1,1,0,3,2,7,1,1,2,2,5,5,2,4,5,5,1,1,1,7743.5833333
K,2,16,2,12,4,3,4,1,3,0,4,3,12,3,6,5,1,5,1,5,5,1,5,1,4,2,16750.0
J,2,12,1,7,4,5,5,1,1,0,5,4,12,1,3,3,1,2,3,4,4,1,5,1,3,2,4506.6666667
L,4,14,2,11,4,1,4,1,3,0,3,4,7,2,2,5,2,3,1,5,3,2,5,1,1,2,1126.6666667
R,5,9,1,3,0,5,1,1,1,0,1,3,7,1,3,1,2,5,3,5,1,1,4,1,1,1,1040.0
I,3,14,1,11,5,4,3,1,3,3,3,4,3,1,1,4,3,3,5,5,3,4,5,1,2,2,1408.3333333
I,5,16,2,12,4,2,1,1,3,0,3,1,7,1,5,3,2,1,1,1,1,5,5,1,1,1,1386.6666667
P,5,14,2,11,4,5,4,2,3,0,1,3,7,2,1,5,2,2,4,5,4,5,5,1,2,1,1305.0
I,5,12,2,7,4,1,1,1,1,0,5,3,7,2,1,4,3,3,3,3,1,3,1,2,1,0,1365.0
H,2,18,2,13,6,5,2,1,3,3,3,1,12,1,6,4,2,5,4,5,4,1,5,1,1,3,6625.0
C,2,16,1,12,6,5,5,1,2,2,5,5,12,1,5,5,2,5,5,4,5,3,5,1,5,3,7500.0
H,8,12,1,7,1,1,1,2,2,0,1,2,7,1,3,4,2,1,1,5,2,5,5,1,1,1,2166.6666667
G,5,12,1,7,2,5,5,1,3,1,3,5,7,1,1,5,2,5,4,5,4,1,1,1,2,2,12833.333333
H,9,12,1,7,1,1,1,1,1,0,1,4,7,1,1,2,2,1,1,1,1,5,5,1,1,1,7583.3333333
F,7,13,1,9,6,4,3,2,2,2,1,4,7,1,6,2,2,5,4,5,5,5,5,1,1,1,5546.6666667
K,3,16,1,12,4,4,5,1,2,3,2,5,12,1,6,4,2,5,3,5,4,2,5,1,2,3,5166.6666667
J,2,12,1,7,4,3,4,2,1,0,3,3,12,1,3,3,1,4,5,4,5,2,2,1,5,3,3466.6666667
F,3,12,1,7,8,1,4,1,3,1,3,5,7,2,1,4,2,3,4,4,4,4,4,2,1,0,2383.3333333
F,9,12,1,7,1,5,5,1,1,0,2,5,7,1,3,2,2,5,5,5,4,5,5,2,1,0,1733.3333333
S,5,12,2,7,3,5,5,1,3,1,4,1,7,1,1,2,1,5,2,4,2,5,5,1,1,2,2166.6666667
Q,2,14,1,11,4,5,5,1,3,1,2,2,11,1,1,4,2,5,3,5,4,5,5,1,1,2,4333.3333333
F,9,9,1,3,0,1,2,1,3,1,1,3,7,2,6,2,4,4,5,5,4,5,5,1,1,1,4766.6666667
L,2,16,2,12,3,5,2,1,1,0,1,4,12,1,6,3,3,3,4,4,4,1,1,1,2,2,3608.3333333
G,3,16,2,12,3,1,1,2,3,1,3,4,13,2,5,5,3,5,4,4,3,4,3,1,1,2,1170.0
K,3,12,2,7,5,5,5,3,2,0,5,5,11,2,5,5,1,5,5,5,5,1,5,1,5,3,3333.3333333
P,2,16,2,12,4,5,3,2,3,0,1,3,11,2,1,3,2,5,3,4,4,5,5,1,1,1,2578.3333333
Q,1,21,2,14,4,5,3,1,1,1,2,5,14,1,5,5,2,5,2,4,2,1,2,1,4,2,6500.0
C,7,12,1,7,6,1,1,1,2,0,1,2,7,1,1,2,4,1,5,5,4,5,5,2,1,0,3355.7333333
I,9,18,1,13,9,1,1,1,3,0,5,1,7,2,5,2,1,1,1,1,1,1,5,2,1,0,583.33333333
O,5,12,1,7,8,1,1,2,2,0,5,5,7,2,1,3,5,4,4,4,2,5,4,1,1,2,1841.6666667
C,3,16,1,12,7,1,1,1,3,1,3,3,12,1,6,4,2,4,4,5,4,1,5,1,1,2,6750.0
O,1,16,1,12,4,5,5,2,3,0,5,5,12,1,6,3,2,4,2,3,3,4,2,1,3,2,20833.333333
O,5,16,1,12,5,4,2,2,2,3,2,3,7,1,6,2,1,4,5,5,4,5,2,1,1,1,7973.3333333
P,2,18,2,13,2,5,4,2,3,0,1,3,12,1,1,2,2,4,5,5,3,4,4,1,3,2,5000.0
M,2,18,1,13,6,4,3,1,3,1,2,4,13,1,6,2,2,5,4,5,5,1,1,1,1,2,6416.6666667
G,5,12,2,7,5,5,5,1,1,3,1,5,7,1,5,3,1,5,3,5,5,1,5,1,5,1,3467.6666667
G,5,13,1,9,9,1,1,1,3,0,5,5,7,1,1,5,1,5,5,5,1,5,1,1,1,1,1508.0
O,2,16,1,12,4,4,3,2,1,0,3,4,12,1,5,3,1,5,4,5,4,2,2,1,3,2,5416.6666667
C,1,18,1,13,2,3,3,1,1,1,4,5,9,1,6,3,1,2,2,2,2,1,5,1,1,2,10833.333333
H,8,12,1,7,6,5,5,1,1,1,1,3,7,1,5,1,2,4,3,5,5,5,5,1,1,2,10840.0
J,3,12,1,7,3,2,2,1,2,0,2,3,7,2,1,2,3,4,3,5,3,4,4,1,4,2,2665.0
K,2,14,2,11,3,1,1,2,3,0,4,4,3,3,6,1,1,2,1,3,2,1,1,1,4,2,7000.0
G,5,16,2,12,1,4,3,1,3,1,4,5,12,2,4,4,2,4,5,3,3,1,4,1,3,2,3466.6666667
M,2,19,1,13,4,5,5,2,1,0,3,4,13,1,6,4,1,5,4,5,5,1,1,1,5,2,6791.6666667
P,2,18,2,13,2,4,4,2,3,0,2,4,13,1,3,4,1,3,3,5,2,2,5,1,1,2,5750.0
F,3,16,1,12,4,3,3,1,3,1,5,4,7,1,6,5,2,4,4,3,2,5,5,1,2,2,8321.8333333
C,5,9,2,3,0,5,1,1,3,0,2,3,7,2,5,1,2,4,5,4,3,4,5,1,1,1,3065.8333333
I,5,9,1,3,0,5,5,1,3,0,2,4,7,2,1,1,3,5,3,5,1,5,1,2,1,0,628.33333333
P,2,18,1,13,2,4,1,3,3,0,2,3,13,2,5,4,2,5,4,5,4,1,2,1,2,2,3970.0
G,5,12,2,7,1,1,1,1,3,0,1,3,1,1,1,5,2,1,2,4,1,5,5,1,1,1,1547.0
N,3,12,1,7,4,5,5,1,3,1,1,5,7,2,1,3,1,5,4,5,4,4,3,1,3,2,4640.0
P,4,16,1,12,4,5,1,1,1,0,2,3,12,2,1,2,2,5,4,5,2,1,5,1,2,1,3676.6666667
M,3,12,1,7,6,5,5,1,3,0,2,2,7,1,6,2,2,3,2,5,3,2,3,1,1,1,25783.333333
Q,5,18,2,13,8,1,1,3,3,0,4,3,7,2,4,2,3,1,2,4,2,3,2,1,1,1,97.5
Q,2,19,1,13,8,4,4,3,3,4,2,2,13,1,6,4,1,5,4,5,3,4,3,1,2,1,34583.333333
F,7,6,1,2,0,4,4,1,3,0,5,5,2,1,3,5,1,5,5,5,4,5,5,1,1,1,4732.0
G,9,12,1,7,1,1,1,1,3,0,2,2,3,1,1,1,3,1,1,4,1,5,5,1,1,1,953.33333333
Q,3,12,1,7,8,3,3,2,3,2,1,3,7,1,5,2,1,4,3,4,2,4,2,2,1,0,4500.0
G,5,12,1,7,5,5,4,1,3,0,3,4,7,2,4,5,2,5,3,5,3,3,4,1,1,1,839.58333333
J,4,12,2,7,4,5,5,1,1,0,2,4,7,1,1,5,2,4,4,5,3,1,5,1,5,2,3125.0
Q,4,14,2,11,1,1,1,1,1,0,3,3,7,1,5,5,1,2,3,5,4,1,5,1,1,2,2502.5
L,3,13,2,9,4,4,4,1,1,2,4,3,9,1,6,5,1,5,5,5,3,2,5,1,2,2,6250.0
K,3,16,1,12,4,5,3,1,1,0,3,5,11,1,5,4,1,5,5,5,4,5,5,1,3,2,6166.6666667
O,2,16,2,12,8,4,1,2,2,2,2,3,12,1,5,3,2,4,4,5,4,1,1,1,1,1,4166.6666667
I,9,9,1,3,0,1,1,1,3,0,1,2,7,2,3,5,2,1,2,5,2,3,5,1,1,1,2058.3333333
C,3,12,1,7,5,4,5,1,3,3,5,2,7,1,4,2,2,4,4,5,4,3,5,1,2,2,5416.6666667
C,5,12,1,7,4,1,1,1,3,2,1,2,7,2,5,5,2,3,4,5,4,5,3,1,1,1,4539.3333333
C,3,9,2,3,0,1,1,1,2,0,2,3,7,1,1,3,2,1,4,1,1,5,5,2,1,0,1668.3333333
M,2,16,1,12,5,4,4,1,1,1,4,3,12,2,5,2,1,4,3,3,3,2,5,1,3,3,7333.3333333
O,5,14,2,11,2,5,5,1,3,0,1,4,7,1,1,3,1,5,4,5,5,5,5,1,1,2,2425.0
C,8,12,2,7,1,1,1,1,3,0,2,2,1,1,1,3,2,2,2,3,2,5,5,2,1,0,2412.5
M,3,18,2,13,8,1,1,1,1,0,2,5,7,1,6,2,2,1,4,5,2,2,5,1,1,2,4158.3333333
G,3,16,1,12,4,5,4,1,1,0,2,3,12,2,5,3,1,4,2,5,3,2,3,1,3,2,5000.0
Q,3,16,2,12,4,3,4,3,1,0,3,4,12,1,5,4,3,4,2,5,4,2,5,1,1,2,3466.6666667
K,4,12,2,7,3,4,4,1,2,0,4,3,7,2,5,4,1,5,4,5,2,2,5,1,5,2,2253.3333333
Q,2,16,2,12,4,5,5,1,3,3,3,4,7,3,5,3,2,5,5,5,5,5,5,1,1,2,3550.0
O,5,16,2,12,8,3,1,2,2,0,1,2,7,1,2,2,1,3,1,1,1,5,4,2,1,0,880.05666667
I,1,16,1,12,5,5,1,1,3,3,3,2,7,2,5,5,2,5,3,3,2,5,5,1,2,2,5000.0
P,2,16,2,12,2,4,1,2,3,0,2,3,12,1,3,2,2,5,5,5,3,5,5,2,1,0,1000.0
P,1,18,1,13,2,2,2,2,3,3,2,3,13,1,6,5,2,4,3,4,3,2,5,1,4,2,6541.6666667
I,9,9,1,3,0,1,1,1,2,0,4,4,3,2,1,5,5,4,1,5,1,5,5,2,1,0,1083.3333333
P,2,21,1,14,5,2,1,2,3,1,4,4,14,1,6,2,2,5,5,1,5,1,2,1,2,2,12500.0
D,3,12,1,7,4,2,2,1,1,0,5,4,7,1,5,5,2,5,4,3,4,3,2,1,4,2,5991.6666667
R,2,18,2,13,5,2,2,2,3,0,4,3,12,1,5,3,1,3,3,5,3,4,4,1,3,2,3148.3333333
G,5,12,2,7,4,4,4,1,2,1,2,3,3,1,1,5,2,4,3,5,3,5,5,1,1,1,704.16666667
I,5,9,2,3,0,5,5,1,1,0,5,4,1,1,3,5,2,5,3,5,5,4,5,2,1,0,3591.6666667
Q,1,14,2,11,8,1,1,3,2,1,1,3,7,3,3,2,1,5,2,4,2,5,5,2,1,0,3500.0
G,5,12,1,7,4,1,1,1,3,0,3,3,7,1,1,5,2,3,2,5,4,5,5,2,1,0,1300.0
P,2,16,2,12,3,5,5,3,1,0,5,2,11,1,5,3,1,5,5,5,2,1,5,1,3,2,1950.0
R,3,18,1,13,4,5,5,1,3,0,3,4,7,2,4,2,1,4,2,2,1,2,1,2,1,0,346.66666667
I,5,12,2,7,1,5,1,1,2,0,4,3,7,2,5,4,2,4,2,5,4,5,5,1,3,1,1445.8333333
O,5,16,1,12,4,5,1,2,3,0,2,3,7,1,1,2,2,3,3,3,3,3,3,1,1,1,9533.3333333
P,2,18,2,13,2,4,4,2,3,5,3,4,13,1,1,3,1,5,5,5,5,2,5,1,2,2,6833.3333333
P,2,18,2,13,3,5,5,1,3,0,4,5,12,1,5,4,2,5,4,5,3,2,5,1,2,2,12083.333333
G,5,16,1,12,3,5,5,1,1,2,3,4,7,3,2,5,2,5,5,5,5,5,5,1,3,2,2166.6666667
J,1,16,1,12,6,1,1,1,3,1,3,3,12,1,6,5,2,2,2,1,1,1,5,1,5,3,10916.666667
J,2,16,1,12,3,2,1,1,2,0,2,4,12,2,6,4,1,4,2,5,4,1,5,1,4,3,7800.0
Q,2,16,2,12,8,5,5,3,2,0,2,3,12,2,4,3,2,5,5,5,3,5,5,1,1,1,4080.96
I,15,9,2,3,0,1,1,2,3,0,3,5,7,1,1,5,2,1,1,1,2,1,5,1,1,1,628.33333333
F,9,9,1,3,0,1,1,1,3,0,1,2,7,2,5,4,1,2,2,5,4,5,5,2,1,0,3900.0
O,3,16,2,12,3,2,1,2,1,0,3,4,12,2,5,3,2,3,3,4,3,1,1,1,4,2,6833.3333333
H,9,14,2,11,8,3,1,1,2,0,3,1,7,1,2,1,2,4,3,5,3,5,5,2,1,0,1365.0
J,1,16,1,12,6,4,4,1,3,4,5,4,7,1,5,5,2,5,4,5,4,5,5,1,3,2,2600.0
P,1,14,2,11,4,3,4,2,1,5,3,4,12,2,5,3,1,5,4,3,3,4,5,1,2,2,3166.6666667
S,2,16,1,12,7,4,3,3,3,0,3,5,9,1,6,2,2,3,4,5,3,1,4,1,1,2,3033.3333333
C,3,14,1,11,6,4,1,1,3,0,2,3,13,1,6,2,1,4,5,4,3,2,5,1,2,2,12666.666667
J,2,16,2,12,6,4,2,1,3,0,3,5,12,3,5,2,2,3,4,5,4,1,5,1,2,3,6333.3333333
N,4,16,1,12,9,1,5,1,3,3,3,3,7,3,1,1,2,3,1,5,2,1,5,1,1,2,2513.3333333
H,1,16,1,12,1,5,4,1,3,4,2,3,11,2,6,3,2,5,4,3,2,2,5,1,1,2,4416.6666667
K,4,16,2,12,4,1,3,1,3,0,1,5,7,1,1,1,2,1,1,4,3,5,5,1,1,1,2318.3333333
H,8,12,2,7,5,1,4,2,1,0,2,3,7,2,6,1,2,5,1,5,1,5,5,1,1,1,3120.0833333
C,3,12,1,7,4,1,1,1,1,0,1,2,7,3,5,3,2,4,2,5,3,3,5,1,1,2,8541.6666667
J,3,14,1,11,6,2,1,1,3,0,3,1,12,3,4,1,2,1,4,3,2,3,5,1,2,2,5250.0
C,1,16,1,12,5,3,3,1,1,2,5,5,13,2,6,3,2,4,2,5,4,1,5,1,2,3,16166.666667
C,2,16,1,12,5,5,5,1,2,0,2,5,12,2,6,5,2,5,5,5,5,1,5,1,5,3,10250.0
C,3,14,2,11,4,4,3,1,1,0,5,4,11,1,5,4,2,5,2,5,3,2,5,1,2,2,3369.1666667
P,2,18,2,13,4,3,2,3,3,2,5,4,13,1,5,5,5,4,4,4,3,2,1,1,3,2,3333.3333333
O,4,12,2,7,4,1,2,2,3,0,5,2,7,1,1,5,2,1,4,3,1,1,5,1,1,2,485.33333333
P,2,16,2,12,2,5,5,2,3,0,2,3,12,1,3,3,2,4,5,5,3,5,5,1,2,1,4416.6666667
I,5,14,2,11,2,5,5,1,1,0,2,3,7,2,2,3,2,5,1,5,3,5,5,1,1,1,369.2
O,5,16,1,12,3,5,5,2,1,4,2,3,7,1,1,3,4,3,4,5,4,3,3,1,1,2,5083.3333333
C,8,12,1,7,6,1,1,1,1,0,4,5,7,1,5,5,2,5,5,4,2,5,5,1,1,1,5416.6666667
P,5,12,2,7,2,2,1,1,3,0,1,1,12,2,6,2,2,2,3,4,2,4,5,1,1,1,1083.3333333
C,7,6,1,1,0,5,1,3,3,0,1,4,9,1,6,1,1,3,1,5,5,5,5,1,1,1,3550.0
P,2,18,2,13,2,2,3,2,3,0,1,3,12,3,4,2,2,3,5,5,3,2,5,1,2,2,6666.6666667
I,5,16,2,12,5,1,1,1,3,1,2,4,7,1,3,3,2,5,3,5,4,5,5,2,1,0,1993.3333333
S,5,12,2,7,4,1,1,1,1,0,3,2,7,1,1,4,2,4,5,5,1,5,4,2,1,0,1170.0
G,7,13,1,9,5,1,1,1,2,0,1,3,7,3,5,5,1,5,4,4,3,5,5,1,4,2,2946.6666667
Q,5,12,2,7,4,1,1,1,1,0,1,2,9,1,3,5,1,1,1,5,5,1,5,1,2,1,2253.4166667
G,5,12,2,7,4,4,1,1,3,1,4,5,7,1,1,3,1,4,3,5,2,4,5,1,1,1,1105.0
O,9,12,1,7,1,1,1,1,3,0,3,5,7,1,3,4,2,2,1,2,1,1,5,2,1,0,594.53333333
C,3,14,1,11,5,1,3,1,3,0,3,4,9,2,5,5,2,4,2,5,4,4,3,1,5,3,5876.0
H,1,14,1,11,6,4,2,1,3,4,2,4,11,1,6,5,2,5,4,5,5,3,5,1,5,1,10416.666667
K,4,12,2,7,8,5,4,2,3,0,1,2,7,1,4,5,2,3,1,5,5,1,5,1,3,2,2400.0
Q,2,19,1,13,8,2,2,3,1,0,2,2,13,1,6,4,2,4,4,5,2,5,3,1,2,1,17916.666667
I,5,12,2,7,4,5,5,2,3,2,2,1,7,2,5,5,2,5,5,5,1,5,5,2,1,0,1993.3333333
P,2,21,1,14,3,2,1,2,2,0,4,4,14,1,6,4,1,4,5,4,3,1,1,1,2,2,4750.0
C,3,18,1,13,6,3,5,1,3,0,3,5,7,3,4,3,2,2,2,5,3,5,5,1,4,2,3206.75
Q,5,12,2,7,3,1,5,2,3,1,5,5,7,3,5,4,2,5,3,4,5,5,5,1,1,1,6350.0
F,1,12,1,7,4,5,5,1,1,3,3,3,9,2,6,4,3,4,3,4,4,3,5,1,1,2,10833.333333
M,1,16,2,12,4,4,3,1,1,1,4,4,12,1,6,3,4,5,1,5,4,1,5,1,3,2,5250.0
Q,4,12,2,7,5,4,2,1,2,0,2,2,7,1,5,3,2,5,5,5,4,1,5,1,3,2,3743.74
P,5,13,2,9,9,5,5,1,3,1,1,2,7,1,1,1,2,5,5,5,4,5,5,2,1,0,1300.0
Q,4,12,2,7,1,5,5,1,1,0,2,5,7,1,5,5,1,5,5,5,5,1,5,1,4,2,1412.5
J,3,16,2,12,4,1,1,1,1,0,2,4,11,2,5,5,1,5,1,5,5,1,5,1,5,3,4506.6666667
P,2,16,2,12,5,2,2,2,3,0,2,3,13,2,6,3,2,4,2,5,3,4,5,1,2,2,4212.0
F,3,13,1,9,6,5,4,1,1,3,1,4,7,1,6,2,1,5,5,5,3,4,4,1,2,1,13333.333333
C,7,14,1,11,6,2,2,1,3,2,2,4,9,1,1,4,1,4,5,5,4,3,4,1,1,2,7666.6666667
P,2,19,2,13,2,5,1,2,3,0,3,3,13,1,5,3,1,5,5,5,5,5,5,1,1,2,8233.3333333
O,8,12,1,7,6,1,1,2,2,0,1,4,7,1,5,5,2,5,3,5,4,5,5,1,1,1,6833.3333333
I,5,14,2,11,4,5,5,1,3,3,2,2,7,1,5,5,2,4,5,5,5,5,5,1,1,1,1733.3333333
D,3,14,1,11,6,5,5,1,2,1,2,3,7,1,6,3,2,5,5,4,4,5,5,1,4,2,4416.6666667
I,5,14,1,11,2,5,1,1,3,0,4,5,7,1,2,4,3,3,1,4,1,5,5,1,1,1,6500.0
I,5,12,2,7,4,5,5,2,3,0,1,1,1,1,5,2,2,5,4,4,3,5,5,2,1,0,1126.6666667
N,6,12,1,7,1,5,4,1,2,1,5,5,7,1,1,3,2,5,4,4,4,5,5,2,1,0,1950.0
Q,2,21,1,14,8,5,1,2,3,1,3,5,12,3,5,3,2,4,4,5,4,5,5,1,1,1,6825.0
F,7,6,1,2,0,2,2,1,3,0,1,4,2,3,6,2,2,4,5,5,5,5,5,2,1,0,3466.6666667
Q,2,16,2,12,1,5,5,3,1,0,3,3,12,2,4,4,4,5,3,5,4,4,4,1,1,1,3508.3333333
G,5,12,1,7,2,4,4,1,3,0,4,5,7,1,1,2,2,5,2,4,1,5,5,1,1,1,1560.0
R,5,12,2,7,4,5,1,1,3,0,1,3,7,1,4,5,1,1,1,3,2,5,5,1,5,1,34.666666667
G,5,14,1,11,6,4,3,1,3,3,4,3,7,3,5,5,2,5,5,5,4,5,5,1,3,2,5633.3333333
G,5,12,1,7,1,1,1,1,3,0,1,5,1,1,1,5,2,1,1,4,3,5,5,1,1,1,1440.8333333
N,9,12,2,7,1,1,1,1,3,0,3,4,7,1,1,2,2,2,4,4,3,5,5,2,1,0,823.33333333
M,1,16,2,12,4,4,2,1,3,1,2,4,12,1,6,2,3,4,4,4,4,1,1,1,5,2,8333.3333333
J,5,12,2,7,4,1,1,2,3,1,3,4,3,1,1,2,2,1,2,4,2,4,1,1,1,1,710.0
Q,1,19,1,13,8,5,4,2,3,5,2,4,13,1,6,4,2,5,4,5,5,1,1,1,4,2,19616.666667
K,1,16,1,12,7,5,3,1,3,1,3,4,12,1,6,4,2,5,3,4,4,1,5,1,3,2,14333.333333
M,4,12,2,7,4,5,2,1,1,0,1,5,7,1,4,5,2,2,3,5,4,1,3,1,4,2,1040.0
M,1,16,1,12,3,4,3,1,2,3,5,5,12,2,4,4,2,4,3,3,2,1,5,1,3,2,1500.0
I,1,12,2,7,4,5,5,2,3,1,1,1,2,2,1,5,3,5,5,5,3,5,5,1,1,1,2036.6666667
F,7,12,1,7,6,5,2,1,3,1,4,3,7,2,1,1,2,4,4,3,2,4,5,2,1,0,4747.5
O,1,18,1,13,4,4,3,2,1,1,2,5,12,1,6,2,5,3,1,4,4,1,1,1,2,2,7500.0833333
Q,2,14,2,11,2,5,4,1,2,0,1,3,7,2,1,2,3,5,5,4,3,5,5,2,1,0,1683.5
P,2,18,2,13,5,3,3,2,1,0,4,5,13,1,6,2,1,5,5,5,3,1,4,1,3,2,6250.0
P,5,13,2,9,2,5,5,2,3,1,1,4,9,1,1,5,2,5,5,5,4,5,5,1,1,2,1291.6666667
K,4,16,2,12,3,4,2,1,3,0,3,4,11,2,5,3,1,5,3,5,3,1,5,1,5,2,2975.0
G,1,12,1,7,2,5,5,1,1,3,3,5,7,1,5,5,2,5,5,5,4,5,5,1,2,2,3250.0
P,1,18,2,13,4,5,3,3,3,2,5,5,13,1,6,5,1,5,5,4,3,1,1,1,3,2,9166.6666667
T,9,9,2,3,0,1,1,1,3,0,1,1,7,3,3,5,3,1,1,1,1,5,5,2,1,0,1300.0
P,2,18,2,13,2,2,1,2,3,1,3,3,12,1,5,3,4,5,3,5,5,5,5,1,1,2,4500.0
C,1,18,1,13,4,3,1,1,3,1,4,3,7,1,5,2,2,4,3,5,5,5,4,1,1,2,3466.6666667
Q,3,12,2,7,8,5,1,1,3,2,5,1,7,1,1,1,3,2,5,5,5,1,5,1,1,1,4775.0
P,2,16,2,12,2,5,5,2,3,1,2,3,12,3,3,3,1,5,5,5,4,5,5,1,2,1,4800.0
Q,15,18,2,13,9,5,4,1,3,0,4,2,13,1,5,4,2,5,3,4,4,2,5,1,1,2,4000.0
G,3,16,2,12,8,2,2,1,2,0,2,1,7,2,1,5,2,5,5,5,5,5,5,1,1,1,1546.3333333
G,9,12,1,7,3,5,1,1,1,1,3,2,7,2,1,5,2,5,5,3,1,5,5,1,2,1,1989.4666667
Q,3,12,2,7,8,5,5,1,3,0,5,5,12,2,5,1,2,5,5,5,4,1,5,1,2,2,2192.3333333
G,5,16,2,12,4,3,3,1,1,2,3,3,12,1,6,5,2,5,5,5,2,5,3,1,1,2,656.25
